Date,INFL,UNRATE,TB3MS
1953-01-01,0.0896090807614769,2.7,1.98
1953-04-01,0.805579655420274,2.56666666666667,2.15333333333333
1953-07-01,1.66567760030834,2.73333333333333,1.95666666666667
1953-10-01,0.741372492321091,3.7,1.47333333333333
1954-01-01,1.27195522229009,5.26666666666667,1.06
1954-04-01,0.354243565588241,5.8,0.79
1954-07-01,0.530777814704564,5.96666666666667,0.883333333333333
1954-10-01,1.08883642734803,5.33333333333333,1.02
1955-01-01,1.87642358324336,4.73333333333333,1.22333333333333
1955-04-01,1.63468081262792,4.4,1.48333333333333
1955-07-01,2.78686082674646,4.1,1.85666666666667
1955-10-01,3.94375473452353,4.23333333333333,2.33666666666667
1956-01-01,3.99034234111184,4.03333333333333,2.32666666666667
1956-04-01,2.34704289371166,4.2,2.56666666666667
1956-07-01,4.98745604056179,4.13333333333333,2.58333333333333
1956-10-01,1.61178486804818,4.13333333333333,3.03333333333333
1957-01-01,5.45387873357104,3.93333333333333,3.09666666666667
1957-04-01,2.78081817918832,4.1,3.14
1957-07-01,2.38370042462552,4.23333333333333,3.35333333333333
1957-10-01,0.269978411976979,4.93333333333333,3.31
1958-01-01,4.32175462036533,6.3,1.75666666666667
1958-04-01,1.146399958232,7.36666666666667,0.956666666666667
1958-07-01,2.44178317811983,7.33333333333333,1.68
1958-10-01,1.90061731572442,6.36666666666667,2.69
1959-01-01,0.920659335186613,5.83333333333333,2.77333333333333
1959-04-01,0.630086767199067,5.1,3
1959-07-01,1.54475727908956,5.26666666666667,3.54
1959-10-01,1.5648451854501,5.6,4.23
1960-01-01,1.58467490911445,5.13333333333333,3.87333333333333
1960-04-01,1.00987268400861,5.23333333333333,2.99333333333333
1960-07-01,1.36831707962788,5.53333333333333,2.36
1960-10-01,1.1838135128496,6.26666666666667,2.30666666666667
1961-01-01,0.872746287317838,6.8,2.35
1961-04-01,0.922013470086824,7,2.30333333333333
1961-07-01,1.02197296267068,6.76666666666667,2.30333333333333
1961-10-01,1.24836889964772,6.2,2.46
1962-01-01,2.05512487851163,5.63333333333333,2.72333333333333
1962-04-01,0.657437406992578,5.53333333333333,2.71666666666667
1962-07-01,0.832886693957668,5.56666666666667,2.84
1962-10-01,0.831156046304748,5.53333333333333,2.81333333333333
1963-01-01,1.73231088265737,5.76666666666667,2.90666666666667
1963-04-01,0.700832417566843,5.73333333333333,2.94
1963-07-01,0.524819668553356,5.5,3.29333333333333
1963-10-01,3.23364735998357,5.56666666666667,3.49666666666667
1964-01-01,1.26147957257441,5.46666666666667,3.53
1964-04-01,0.91270737388971,5.2,3.47666666666667
1964-07-01,1.59837915940475,5,3.49666666666667
1964-10-01,1.81195216794379,4.96666666666667,3.68333333333333
1965-01-01,1.99829829517917,4.9,3.89
1965-04-01,1.84320947022876,4.66666666666667,3.87333333333333
1965-07-01,1.54561564042517,4.36666666666667,3.86666666666667
1965-10-01,2.73842049602724,4.1,4.16666666666667
1966-01-01,2.55332708903566,3.86666666666667,4.61
1966-04-01,3.26919202064744,3.83333333333333,4.58666666666667
