,PCECTPI,OILPRICEx,FEDFUNDS ,GS10,GS10TB3Mx,AAAFFM,M2REAL,TOTALSLx ,UMCSENTx ,CUMFNS ,GDPC1,PCECC96 ,INDPRO,UNRATE ,PAYEMS ,HOUST
3/1/1967,1.140563489,0.484037501,4.8233,4.5833,0.07,0.2967,5.405681507,1.880599833,94.1,88.5845,3.52757272,2.298248932,-2.210197126,3.8333,2.64461726,59.97969762
6/1/1967,1.901452856,-1.330135902,3.99,4.82,1.16,1.2733,7.054254914,0.552074398,95.9,86.7784,0.245330628,5.431632417,-1.632836152,3.8333,0.956252153,46.15360859
9/1/1967,3.707248135,2.551857916,3.8933,5.2467,0.95,1.7233,6.722105827,1.727513351,97,85.9545,3.766515019,2.042871559,2.741751614,3.8,2.752199926,56.14817303
12/1/1967,3.423310676,-0.953855072,4.1733,5.6433,0.89,1.8533,4.021271486,1.846744416,92.9,87.3031,3.004104191,2.440225449,10.56319533,3.9,3.2822406,13.6019859
3/1/1968,4.227102717,-4.532774933,4.79,5.61,0.56,1.34,2.873581714,1.457579037,97.2,87.3265,8.075025353,9.473045304,5.66898424,3.7333,2.963553051,2.665738925
6/1/1968,4.071623523,-4.625945354,5.9833,5.7433,0.22,0.2733,2.65666962,4.730990145,92.4,87.2787,6.626302827,6.045040552,5.356554867,3.5667,3.558638104,0.091624872
9/1/1968,4.118725495,-4.447090861,5.9467,5.46,0.26,0.1333,2.3165844,4.72758775,92.4,86.6725,3.086138255,7.427327474,3.092206967,3.5333,3.581911584,17.56160182
12/1/1968,4.403714203,-4.628519681,5.9167,5.77,0.18,0.3267,4.24052285,7.123015994,91.7,87.0994,1.568019022,1.800175684,6.028777523,3.4,3.909784391,15.81300662
3/1/1969,3.859736133,3.363896434,6.5667,6.1767,0.08,0.1333,1.919586256,6.158710293,98.2,87.6718,6.209278408,4.410882195,7.706472967,3.4,4.019303427,23.56027512
6/1/1969,5.060644321,22.44298612,8.3267,6.3533,0.16,-1.44,-2.760727155,5.566040253,91.5,86.9244,1.211579026,2.572125405,1.741832088,3.4333,3.795504853,-33.11092292
9/1/1969,4.871135541,-4.588397034,8.9833,6.8567,-0.17,-1.92,-2.924117731,2.387564172,86.4,86.8435,2.631136814,1.94539646,4.773299303,3.5667,3.049436064,-36.29009499
12/1/1969,4.583677816,-4.670197485,8.94,7.2967,-0.06,-1.4733,-2.655215968,1.501723492,79.7,85.1779,-1.957618735,3.184326362,-2.516490308,3.5667,1.496367238,-28.99678999
3/1/1970,4.614043143,-4.330652056,8.5733,7.3667,0.16,-0.68,-4.870932778,0.413365615,78.1,81.8434,-0.59601067,2.474106225,-9.810180714,4.1667,0.905986068,-23.86268601
6/1/1970,4.398683817,-4.502108351,7.8867,7.7133,1.04,0.26,-2.87987712,-2.612701162,75.4,80.4468,0.566472357,1.807993467,-2.205792605,4.7667,-0.806676594,24.06584498
9/1/1970,3.887653989,-9.228850196,6.7067,7.46,1.13,1.5167,4.811298625,0.514654263,77.6,79.1394,3.668991104,3.491550375,-1.43435069,5.1667,-1.063703184,48.79087589
12/1/1970,5.145344853,4.318530476,5.5667,6.8533,1.5,2.34,4.847611509,-2.942689827,72.4,76.4026,-4.309423465,-1.087443191,-8.743040843,5.8333,-2.283266062,56.10015395
3/1/1971,3.781551168,14.19021748,3.8567,6.0167,2.18,3.36,9.273440407,6.343654674,78.1,77.5471,10.71966607,7.605372957,7.639059278,5.9333,1.527388751,27.10725029
6/1/1971,4.526242912,-4.534895116,4.5667,6.2467,2,2.91,11.49915215,4.034455892,80.2,77.6782,2.157438105,3.659424419,3.606760484,5.9,1.8870218,40.38088087
9/1/1971,3.916467719,-3.756054906,5.4767,6.4833,1.47,2.0833,7.797814205,6.108900402,82.1,77.43,3.276332647,3.176553853,1.231295404,6.0333,1.430446154,14.32544586
12/1/1971,2.462019698,-2.278001959,4.75,5.89,1.66,2.55,7.74181537,9.404149221,82,79.1632,0.938357061,6.582540475,9.165874567,5.9333,2.411730963,20.0554208
3/1/1972,4.19650964,-3.81834625,3.5467,6.0333,2.6,3.6933,8.621462526,6.016570456,92.8,81.7968,7.282172009,5.244698532,16.70915282,5.7667,4.492346154,35.50038124
6/1/1972,2.308317271,-2.69494483,4.3,6.1433,2.37,2.9767,7.322546806,10.77014648,88.6,82.8457,8.975688804,7.543047732,7.512059079,5.7,4.299095536,-28.35788222
9/1/1972,3.493800094,-2.9955599,4.7433,6.29,2.07,2.4667,10.04451078,9.01071196,95.2,83.357,3.758643829,6.117485409,5.01644132,5.5667,3.118638722,22.60881797
12/1/1972,3.240995612,-2.504748449,5.1467,6.3733,1.51,1.9933,8.960227963,10.4896426,90.7,85.7106,6.642286891,9.278135365,13.61839272,5.3667,5.012715965,8.730444511
3/1/1973,4.812781352,-2.77624657,6.5367,6.6033,0.9,0.6833,3.166159288,14.92464618,81.9,87.6608,9.779244714,7.23715532,11.29892697,4.9333,5.300079748,-7.607647985
6/1/1973,7.60717356,-5.41069081,7.8167,6.8067,0.2,-0.51,-1.781866093,9.470707153,77,87.6064,4.331437172,-0.180318561,3.377137065,4.9333,3.625230567,-42.42460726
9/1/1973,7.217999772,47.1725391,10.56,7.2067,-1.12,-2.9733,-2.202936869,7.738390577,72,87.3586,-2.108902897,1.4053674,3.378977655,4.8,2.37045712,-23.68923196
12/1/1973,8.095212584,18.48924404,9.9967,6.7533,-0.75,-2.3467,-4.903990391,5.112001984,76.5,88.1145,3.779015812,-1.19479207,5.975200252,4.7667,3.787387446,-81.99895024
3/1/1974,11.7344477,334.2326183,9.3233,7.0533,-0.56,-1.4267,-4.395569,0.409541526,61.8,86.5474,-3.453688192,-3.594838021,-3.63233269,5.1333,1.865840788,-13.96114055
6/1/1974,11.17122533,-9.80558911,11.25,7.5433,-0.61,-2.8867,-5.77409901,-2.820816163,72.1,85.6714,0.949659833,1.437708867,0.275507868,5.2,1.505792052,-18.23188338
9/1/1974,10.64493108,-11.27493383,12.09,7.9633,-0.23,-3.1033,-6.835979872,-4.604297914,64.4,84.7054,-3.799093949,1.714581039,-1.455382095,5.6333,0.560034033,-92.43762941
12/1/1974,10.04315767,29.85935327,9.3467,7.67,0.31,-0.33,-6.029178789,-9.333048695,59.5,80.4362,-1.556648105,-5.890012087,-16.28688855,6.6,-2.241445624,-64.46014236
3/1/1975,7.45788225,-7.742011619,6.3033,7.54,1.79,2.4033,-0.925661904,-7.762487354,57.6,73.4412,-4.90043292,3.341010622,-27.55858365,8.2667,-6.339543707,-18.93689613
6/1/1975,4.875708625,-6.054939397,5.42,8.05,2.66,3.4533,9.595602025,-8.838685102,72.8,71.8704,2.848637218,6.52584756,-5.238194302,8.8667,-2.178677334,37.01761857
9/1/1975,7.425568295,-5.95571762,6.16,8.2967,1.97,2.7533,6.379491412,-4.828106102,75.7,73.8103,6.790217143,5.645080437,9.779772733,8.4667,2.68429399,61.82030394
12/1/1975,6.651437003,-6.458959736,5.4133,8.0633,2.44,3.3967,2.245589034,0.664765708,75.6,75.3162,5.352401074,4.278324624,8.620599564,8.3,3.602145824,28.30763829
3/1/1976,4.378419166,14.98150865,4.8267,7.7533,2.84,3.73,7.955486921,3.517932613,84.6,77.359,8.898160921,7.918559875,11.98843828,7.7333,5.323656453,28.84735673
6/1/1976,3.334604904,8.864740692,5.1967,7.7733,2.62,3.3367,8.271424805,4.51841701,83.3,78.1452,2.922791705,3.663390905,5.159784048,7.5667,2.720382027,2.121051631
9/1/1976,6.025786715,12.2010386,5.2833,7.73,2.58,3.18,4.159399945,3.330845604,89.7,78.7681,2.183659019,4.189467063,5.327610577,7.7333,1.9500248,28.57088996
12/1/1976,6.26819248,28.53734794,4.8733,7.19,2.52,3.31,8.450042368,5.240353076,87,79.3828,2.880021203,5.156604039,7.189695173,7.7667,2.42797949,33.10250398
3/1/1977,7.16371639,-6.67480788,4.66,7.3533,2.72,3.3733,6.101727338,3.477429987,87.1,80.697,4.717010209,4.687157052,7.979411707,7.5,4.085482392,34.64028175
6/1/1977,6.784158313,-6.065407777,5.1567,7.37,2.53,2.8567,3.711201916,11.26930438,90.2,82.8391,7.693235161,2.163143674,12.39546876,7.1333,5.288476518,15.80506422
9/1/1977,5.974709104,11.18139903,5.82,7.3567,1.86,2.1267,3.611255118,8.83429146,89,83.1162,7.148403098,3.764362247,4.40063724,6.9,5.062347734,18.40262724
12/1/1977,5.640516496,2.893235271,6.5133,7.5967,1.49,1.59,2.343699044,9.777416439,84.4,83.1538,0.007971039,5.969398789,2.543409601,6.6667,4.690144442,12.99387258
3/1/1978,6.507135947,-6.194051907,6.7567,8.01,1.62,1.6933,0.582157828,6.013202291,82.3,82.5329,1.277326931,2.240900659,-1.158538973,6.3333,4.129445308,-50.4680735
6/1/1978,8.131593163,-6.838344805,7.2833,8.32,1.84,1.3867,-1.591474949,12.56447011,81.5,84.6256,15.16784177,8.461387432,15.81830785,6,7.180594479,57.85212157
9/1/1978,6.963593146,-6.805131628,8.1,8.49,1.18,0.6533,-1.828506036,11.52972708,80.4,84.7345,4.002899039,1.676119749,3.455088447,6.0333,4.118604392,-18.32579201
12/1/1978,7.483904783,-7.118901136,9.5833,8.82,0.25,-0.5567,-1.777282972,6.258875782,73.5,85.6681,5.340688777,3.214799529,6.957855293,5.9,4.111344798,4.00760189
3/1/1979,7.464797205,12.10267331,10.0733,9.1067,-0.28,-0.78,-4.12670512,8.851657461,71.5,85.2633,0.717730948,2.066265567,1.904536743,5.8667,3.492395918,-81.02437938
6/1/1979,10.78685573,43.44746987,10.18,9.1133,-0.26,-0.79,-3.136698243,5.36799724,66.6,84.2317,0.426753424,-0.259751093,-0.906971959,5.7,2.939698841,41.04604141
9/1/1979,9.80736861,140.3553601,10.9467,9.1033,-0.57,-1.6567,-3.338226891,5.981502969,63.9,83.3749,2.960237918,3.873543883,-1.186342424,5.8667,2.266009712,-12.24997895
12/1/1979,9.561677359,66.53854074,13.5767,10.4467,-1.4,-3.0333,-6.546896278,3.876058819,62.1,82.7773,0.998932307,0.994090413,1.525536819,5.9667,1.300478504,-53.05091372
3/1/1980,11.82852825,50.36188184,15.0467,11.9867,-1.37,-2.9033,-8.522560455,-2.645382346,63.5,82.4106,1.256309656,-0.572197673,1.626145682,6.3,1.397495558,-91.85996608
6/1/1980,9.673010144,30.3065176,12.6867,10.4767,0.86,-1.4833,-7.389744116,-12.62044697,54.4,77.7845,-8.327831933,-9.111293413,-17.37924286,7.3333,-1.921896181,-65.42323477
9/1/1980,9.25158165,-25.94490923,9.8367,10.9533,1.8,1.74,4.463007024,-10.29351114,67.8,75.7168,-0.475701752,4.36378735,-6.604380271,7.6667,-1.799375912,109.7444914
12/1/1980,9.776903871,-25.9427023,15.8533,12.4233,-1.19,-3.0233,-2.633161221,-6.296791101,72.1,78.5831,7.390987394,5.368238077,15.17958803,7.4,2.991539429,31.22053452
3/1/1981,10.24015199,9.185041082,16.57,12.96,-1.43,-3.4067,-4.145264045,-3.72587443,68.3,78.1394,7.761890672,1.33770287,0.978416112,7.4333,1.712838475,-38.6648679
6/1/1981,6.652282433,-14.52947359,17.78,13.75,-1.16,-3.7967,2.430492941,-0.706728659,73.9,78.1261,-2.97534126,0.029055678,1.323306409,7.4,1.05367618,-58.08193157
9/1/1981,6.543457645,-21.88436137,17.5767,14.8467,-0.21,-2.6567,-3.974322745,-1.319415192,74.8,77.4619,4.761555003,1.846012892,3.759147627,7.4,0.836869483,-81.43595356
12/1/1981,6.079073837,-14.53730765,13.5867,14.0867,2.34,1.03,3.751348928,-1.953921385,65.7,74.8738,-4.382305248,-2.745434414,-9.105844284,8.2333,-1.747164278,-39.50960988
