Date,GDP,NFCI
7/1/1989,2.952022607,0.258602308
10/1/1989,0.787149208,0.171484615
1/1/1990,4.347812985,0.052770769
4/1/1990,1.449251535,0.001441538
7/1/1990,0.266238094,0.08534
10/1/1990,-3.658296259,0.462743077
1/1/1991,-1.876155659,0.180513846
4/1/1991,3.106660758,-0.236922308
7/1/1991,2.016344141,-0.475584615
10/1/1991,1.391755339,-0.61223
1/1/1992,4.760567369,-0.66434
4/1/1992,4.313867437,-0.818397692
7/1/1992,3.933041199,-0.903406154
10/1/1992,4.149821489,-0.750556154
1/1/1993,0.667218105,-0.955053077
4/1/1993,2.321931509,-0.993968462
7/1/1993,1.90408019,-1.078236154
10/1/1993,5.403929208,-0.977419286
1/1/1994,3.862740813,-0.941471667
4/1/1994,5.38432863,-0.730173077
7/1/1994,2.33152996,-0.763649286
10/1/1994,4.556232747,-0.529168462
1/1/1995,1.416610584,-0.568335385
4/1/1995,1.191514986,-0.686469231
7/1/1995,3.388508904,-0.69814
10/1/1995,2.707146699,-0.735242308
1/1/1996,2.985034692,-0.784681538
4/1/1996,6.616746724,-0.704261538
7/1/1996,3.572137173,-0.728929231
10/1/1996,4.13206202,-0.756764615
1/1/1997,2.573476535,-0.715056154
4/1/1997,6.606020401,-0.640803077
7/1/1997,4.963354528,-0.647786923
10/1/1997,3.40094202,-0.515093077
1/1/1998,3.994995955,-0.607247692
4/1/1998,3.685718593,-0.587909231
7/1/1998,5.004326031,-0.379647692
10/1/1998,6.385544996,-0.074242308
1/1/1999,3.740194051,-0.312878462
4/1/1999,3.32511274,-0.401323077
7/1/1999,5.268681314,-0.189793846
10/1/1999,6.509414268,-0.137710714
1/1/2000,1.448547603,-0.174540769
4/1/2000,7.219604138,-0.006104615
7/1/2000,0.407522681,-0.153947692
10/1/2000,2.381054314,-0.12571
1/1/2001,-1.31334898,-0.236814615
4/1/2001,2.490243966,-0.386097692
7/1/2001,-1.605775617,-0.445057692
10/1/2001,1.097594521,-0.373839231
1/1/2002,3.331522228,-0.473756154
4/1/2002,2.443348677,-0.586743846
7/1/2002,1.622749619,-0.415721538
10/1/2002,0.494114898,-0.424202308
1/1/2003,2.101040306,-0.533333846
4/1/2003,3.526892181,-0.693496154
7/1/2003,6.598081034,-0.692613077
10/1/2003,4.616146819,-0.714856154
1/1/2004,2.260208096,-0.793103077
4/1/2004,3.087859968,-0.728056154
7/1/2004,3.776491954,-0.699663846
10/1/2004,4.060156528,-0.709205714
1/1/2005,4.413020212,-0.7006
4/1/2005,1.965660123,-0.613818462
7/1/2005,3.12303268,-0.599253571
10/1/2005,2.215916949,-0.577016923
1/1/2006,5.345655379,-0.616893077
4/1/2006,1.0336743,-0.58694
7/1/2006,0.599374416,-0.582376154
10/1/2006,3.423110226,-0.626192308
1/1/2007,1.201536247,-0.653645385
4/1/2007,2.439593166,-0.56528
7/1/2007,2.297492444,-0.063176923
10/1/2007,2.505086205,0.270156923
1/1/2008,-1.710710236,0.650987692
4/1/2008,2.374650373,0.626820769
7/1/2008,-2.106569521,0.92842
10/1/2008,-8.853365096,2.755290769
1/1/2009,-4.565452544,2.164058462
4/1/2009,-0.715242887,1.123385385
7/1/2009,1.402308619,0.344933077
10/1/2009,4.300454152,-0.019100769
1/1/2010,1.933324088,-0.253463077
4/1/2010,3.851739929,-0.230873846
7/1/2010,3.072509082,-0.248294615
10/1/2010,2.094945458,-0.447750714
1/1/2011,-0.949946694,-0.575478333
4/1/2011,2.697214987,-0.570700769
7/1/2011,-0.089260902,-0.254191429
10/1/2011,4.467158725,-0.092613846
1/1/2012,3.340376728,-0.367745385
4/1/2012,1.781366507,-0.317901538
7/1/2012,0.575697506,-0.424818462
10/1/2012,0.462294966,-0.561884615
1/1/2013,3.926903706,-0.650556154
4/1/2013,1.069115306,-0.688947692
7/1/2013,3.391158621,-0.666158462
10/1/2013,3.471856095,-0.752727692
1/1/2014,-1.38277126,-0.777812308
4/1/2014,5.134276092,-0.784926923
7/1/2014,4.83225933,-0.730702308
10/1/2014,2.017834406,-0.63703
1/1/2015,3.585819151,-0.528269231
4/1/2015,2.469978633,-0.555720769
7/1/2015,1.597784846,-0.461996154
10/1/2015,0.737236691,-0.429049231
1/1/2016,2.311386607,-0.307976154
4/1/2016,1.282438265,-0.375996923
7/1/2016,2.827543676,-0.359160714
10/1/2016,2.211074114,-0.421232308
1/1/2017,1.942834932,-0.492638462
4/1/2017,2.233244405,-0.539765385
7/1/2017,3.141726103,-0.574012308
10/1/2017,4.482971108,-0.606509231
1/1/2018,3.24047782,-0.565336923
4/1/2018,2.117684922,-0.5475
7/1/2018,2.48704193,-0.581928462
10/1/2018,0.566175993,-0.4998
1/1/2019,2.489509163,-0.54537
4/1/2019,3.326711173,-0.592263077
7/1/2019,4.652841032,-0.544707692
10/1/2019,2.718254387,-0.551181538
1/1/2020,-5.300247883,-0.344124615
4/1/2020,-32.81728242,-0.07056
7/1/2020,29.90299854,-0.476643846
10/1/2020,4.508555863,-0.539643846
1/1/2021,5.544658614,-0.624916154
4/1/2021,6.750285417,-0.681904615
7/1/2021,3.286671657,-0.655769231
10/1/2021,6.804809236,-0.587533571
1/1/2022,-1.020495165,-0.472839167
4/1/2022,0.62569838,-0.286274615
7/1/2022,2.87722533,-0.186462857
10/1/2022,2.75147654,-0.160907692
1/1/2023,2.88497468,-0.249540769
4/1/2023,2.503636219,-0.202840769
7/1/2023,4.588010958,-0.305190769
10/1/2023,3.362059611,-0.318806154
1/1/2024,0.838565766,-0.415156923
4/1/2024,3.526355417,-0.409823077
7/1/2024,3.28558126,-0.387249231
10/1/2024,1.835281971,-0.461646154
