42141.00,0.13
42142.00,0.13
42143.00,0.12
42144.00,0.12
42145.00,0.12
42146.00,0.13
42147.00,0.13
42148.00,0.13
42149.00,0.13
42150.00,0.12
42151.00,0.12
42152.00,0.12
42153.00,0.08
42154.00,0.08
42155.00,0.08
42156.00,0.12
42157.00,0.12
42158.00,0.13
42159.00,0.13
42160.00,0.13
42161.00,0.13
42162.00,0.13
42163.00,0.13
42164.00,0.13
42165.00,0.13
42166.00,0.13
42167.00,0.13
42168.00,0.13
42169.00,0.13
42170.00,0.13
42171.00,0.14
42172.00,0.14
42173.00,0.14
42174.00,0.13
42175.00,0.13
42176.00,0.13
42177.00,0.13
42178.00,0.13
42179.00,0.13
42180.00,0.13
42181.00,0.13
42182.00,0.13
42183.00,0.13
42184.00,0.14
42185.00,0.08
42186.00,0.13
42187.00,0.13
42188.00,0.13
42189.00,0.13
42190.00,0.13
42191.00,0.13
42192.00,0.13
42193.00,0.13
42194.00,0.13
42195.00,0.13
42196.00,0.13
42197.00,0.13
42198.00,0.13
42199.00,0.13
42200.00,0.13
42201.00,0.14
42202.00,0.13
42203.00,0.13
42204.00,0.13
42205.00,0.14
42206.00,0.13
42207.00,0.13
42208.00,0.13
42209.00,0.13
42210.00,0.13
42211.00,0.13
42212.00,0.14
42213.00,0.14
42214.00,0.14
42215.00,0.14
42216.00,0.08
42217.00,0.08
42218.00,0.08
42219.00,0.14
42220.00,0.14
42221.00,0.14
42222.00,0.14
42223.00,0.14
42224.00,0.14
42225.00,0.14
42226.00,0.14
42227.00,0.15
42228.00,0.15
42229.00,0.15
42230.00,0.14
42231.00,0.14
42232.00,0.14
42233.00,0.15
42234.00,0.15
42235.00,0.15
42236.00,0.15
42237.00,0.15
42238.00,0.15
42239.00,0.15
42240.00,0.15
42241.00,0.15
42242.00,0.14
42243.00,0.14
42244.00,0.14
42245.00,0.14
42246.00,0.14
42247.00,0.08
42248.00,0.14
42249.00,0.14
42250.00,0.14
42251.00,0.14
42252.00,0.14
42253.00,0.14
42254.00,0.14
42255.00,0.14
42256.00,0.14
42257.00,0.14
42258.00,0.14
42259.00,0.14
42260.00,0.14
42261.00,0.14
42262.00,0.14
42263.00,0.14
42264.00,0.14
42265.00,0.14
42266.00,0.14
42267.00,0.14
42268.00,0.14
42269.00,0.14
42270.00,0.14
42271.00,0.14
42272.00,0.13
42273.00,0.13
42274.00,0.13
42275.00,0.13
42276.00,0.13
42277.00,0.07
42278.00,0.13
42279.00,0.13
42280.00,0.13
42281.00,0.13
42282.00,0.13
42283.00,0.13
42284.00,0.13
42285.00,0.13
42286.00,0.13
42287.00,0.13
42288.00,0.13
42289.00,0.13
42290.00,0.13
42291.00,0.13
42292.00,0.13
42293.00,0.13
42294.00,0.13
42295.00,0.13
42296.00,0.13
42297.00,0.13
42298.00,0.13
42299.00,0.12
42300.00,0.12
42301.00,0.12
42302.00,0.12
42303.00,0.12
42304.00,0.12
42305.00,0.12
42306.00,0.12
42307.00,0.07
42308.00,0.07
42309.00,0.07
42310.00,0.12
42311.00,0.12
42312.00,0.12
42313.00,0.12
42314.00,0.12
42315.00,0.12
42316.00,0.12
42317.00,0.12
42318.00,0.12
42319.00,0.12
42320.00,0.12
42321.00,0.12
42322.00,0.12
42323.00,0.12
42324.00,0.13
42325.00,0.13
42326.00,0.12
42327.00,0.12
42328.00,0.12
42329.00,0.12
42330.00,0.12
42331.00,0.12
42332.00,0.12
42333.00,0.12
42334.00,0.12
42335.00,0.12
42336.00,0.12
42337.00,0.12
42338.00,0.08
42339.00,0.13
42340.00,0.13
42341.00,0.13
42342.00,0.13
42343.00,0.13
42344.00,0.13
42345.00,0.13
42346.00,0.13
42347.00,0.14
42348.00,0.14
42349.00,0.14
42350.00,0.14
42351.00,0.14
42352.00,0.15
42353.00,0.15
42354.00,0.15
42355.00,0.37
42356.00,0.37
42357.00,0.37
42358.00,0.37
42359.00,0.36
42360.00,0.36
42361.00,0.36
42362.00,0.36
42363.00,0.36
42364.00,0.36
42365.00,0.36
42366.00,0.36
42367.00,0.36
42368.00,0.35
42369.00,0.2
