,PCECTPI
9/1/2013,1.642558301
12/1/2013,1.469648553
3/1/2014,1.832602324
6/1/2014,1.78718213
9/1/2014,1.089846091
12/1/2014,-0.530157943
3/1/2015,-1.797070423
6/1/2015,1.990310121
9/1/2015,1.038604421
12/1/2015,-0.307605562
3/1/2016,0.196894809
6/1/2016,2.53047677
9/1/2016,1.379080251
12/1/2016,1.827366012
3/1/2017,2.325787145
6/1/2017,0.803019622
9/1/2017,1.409410868
12/1/2017,2.391016923
3/1/2018,2.787357361
6/1/2018,2.093545105
9/1/2018,1.340087262
12/1/2018,1.514916694
3/1/2019,0.8136533
6/1/2019,2.230016878
9/1/2019,0.961849996
12/1/2019,1.571060655
3/1/2020,1.388783717
6/1/2020,-1.642507896
9/1/2020,3.13333531
12/1/2020,2.032315841
3/1/2021,4.52216805
6/1/2021,6.023834338
9/1/2021,5.402236915
12/1/2021,6.616803754
3/1/2022,7.457584073
6/1/2022,7.245006996
9/1/2022,4.5666836
12/1/2022,4.048307661
3/1/2023,3.813338409
6/1/2023,2.946175709
9/1/2023,2.683382854
12/1/2023,1.804204341
3/1/2024,3.525464321
6/1/2024,2.559035843
9/1/2024,1.685139086
12/1/2024,2.487208023
